"T1";"T2";"T3";"T4";"T5";"T6";"T7";"T8";"T9";"T10";"T11";"T12";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P11";"P12";"S1";"S2";"S3";"S4";"S5";"S6";"S7";"S8";"S9";"S10";"S11";"S12";"DD1";"DD2";"DD3";"DD4";"DD5";"DD6";"DD7";"DD8";"DD9";"DD10";"DD11";"DD12";"DC1";"DC2";"DC3";"DC4";"DC5";"DC6";"DC7";"DC8";"DC9";"DC10";"DC11";"DC12";"GSL1";"GSL2";"GSL3";"GSL4";"GSL5";"GSL6";"GSL7";"GSL8";"GSL9";"GSL10";"GSL11";"GSL12";"P-6";"P-7";"P-8";"P-9";"P-10";"P-11";"P-12";"T-6";"T-7";"T-8";"T-9";"T-10";"T-11";"T-12";"S-6";"S-7";"S-8";"S-9";"S-10";"S-11";"S-12";"DD-6";"DD-7";"DD-8";"DD-9";"DD-10";"DD-11";"DD-12";"DC-6";"DC-7";"DC-8";"DC-9";"DC-10";"DC-11";"DC-12";"GSL-6";"GSL-7";"GSL-8";"GSL-9";"GSL-10";"GSL-11";"GSL-12"
"1954";-19.9722;-9.2997;-9.0252;0.2639;8.34;15.9391;15.7822;14.8932;10.0583;4.8464;-1.9457;-12.293;61.3146;62.3673;65.1495;39.5262;66.256;106.8923;98.2734;78.0427;142.3092;84.5981;71.2516;63.2969;60.7728;49.0305;46.8702;13.4402;5.3222;0.9856;0;0;2.2946;12.3979;34.0085;61.9345;0;1.674207;4.621338;88.060532;346.600647;824.773621;1314.020874;1775.710693;2077.459961;2235.59375;2248.959473;2248.959473;NA;NA;NA;23.33381;60.35154;103.82621;132.88506;182.97813;208.00162;63.11395;NA;NA;NA;NA;NA;NA;NA;137;NA;NA;NA;NA;NA;NA;14.9098;17.7515;17.2659;10.7288;6.2101;0.9623;-9.6044;48.9972;62.7611;57.2093;124.9136;28.5248;39.0286;70.1611;0;0;0;2.5256;4.7809;12.9397;55.9624;828.296814;1378.593872;1913.83606;2235.701416;2430.646729;2495.906494;2502.669189;206.15237;294.59717;410.0762;268.66745;223.93839;207.61516;NA;145;NA;NA;NA;NA;NA;NA
"1955";-16.6183;-13.6843;-10.9386;5.3699;11.1112;19.1417;20.4111;18.2211;10.3341;6.0382;-3.4455;-14.9829;45.8405;26.455;49.528;38.2967;55.5582;21.6112;86.6765;84.0609;73.5398;156.9854;91.2209;91.4383;44.9496;25.0277;44.7815;4.2675;0.5464;0;0;0;1.5094;11.7176;58.9915;90.304;0;0.867549;4.80347;177.553284;522.001648;1096.254028;1728.998291;2293.852051;2603.874268;2799.904297;2823.701416;2823.701416;NA;NA;NA;31.29045;102.70815;233.29973;295.05872;399.27884;260.90271;124.7717;NA;NA;NA;NA;NA;NA;NA;191;NA;NA;NA;NA;NA;NA;15.9391;15.7822;14.8932;10.0583;4.8464;-1.9457;-12.293;106.8923;98.2734;78.0427;142.3092;84.5981;71.2516;63.2969;0.9856;0;0;2.2946;12.3979;34.0085;61.9345;824.773621;1314.020874;1775.710693;2077.459961;2235.59375;2248.959473;2248.959473;103.82621;132.88506;182.97813;208.00162;63.11395;NA;NA;137;NA;NA;NA;NA;NA;NA
"1956";-14.8299;-11.3513;-11.7143;-0.6911;5.025;15.1189;15.1244;14.5337;8.1999;7.6271;-2.3865;-13.7021;32.9804;51.5133;46.8501;55.3782;80.8262;70.1991;128.5349;85.0643;136.6513;40.2062;61.1984;80.0568;28.6926;48.0023;45.2479;24.9116;12.5994;0;0;0.625;9.7017;4.251;40.8646;77.4118;0.270257;0.270257;0.270257;20.843044;183.993896;637.561523;1106.41687;1556.961182;1802.958496;2039.398315;2121.926514;2121.926514;NA;NA;NA;NA;25.78491;102.77815;125.82101;166.38075;118.65965;61.69806;104.38884;NA;NA;NA;NA;NA;NA;116;NA;NA;NA;NA;NA;NA;19.1417;20.4111;18.2211;10.3341;6.0382;-3.4455;-14.9829;21.6112;86.6765;84.0609;73.5398;156.9854;91.2209;91.4383;0;0;0;1.5094;11.7176;58.9915;90.304;1096.254028;1728.998291;2293.852051;2603.874268;2799.904297;2823.701416;2823.701416;233.29973;295.05872;399.27884;260.90271;124.7717;NA;NA;191;NA;NA;NA;NA;NA;NA
"1957";-20.6933;-10.6782;-6.6556;1.7582;8.7211;15.4119;16.5079;14.3958;11.1112;5.0634;-1.3142;-10.0618;31.2929;70.5578;8.2257;48.3091;22.8818;193.0282;70.911;37.7116;168.9713;47.6454;79.0928;77.9618;30.0348;65.9609;5.7649;11.1354;0.4856;0;0;0;0.663;6.5905;26.2663;57.9653;0;0;3.960238;132.163666;404.270203;866.628052;1378.373413;1824.643677;2157.97876;2327.776611;2383.072754;2391.04126;NA;NA;NA;12.03168;79.73526;168.97241;74.03216;244.13026;102.05155;108.51218;NA;NA;NA;NA;NA;NA;NA;129;NA;NA;NA;NA;NA;NA;15.1189;15.1244;14.5337;8.1999;7.6271;-2.3865;-13.7021;70.1991;128.5349;85.0643;136.6513;40.2062;61.1984;80.0568;0;0;0.625;9.7017;4.251;40.8646;77.4118;637.561523;1106.41687;1556.961182;1802.958496;2039.398315;2121.926514;2121.926514;102.77815;125.82101;166.38075;118.65965;61.69806;104.38884;NA;116;NA;NA;NA;NA;NA;NA
"1958";-13.4551;-15.7552;-2.552;3.6707;6.7004;12.2111;17.0564;15.836;11.5521;4.9185;-1.2672;-17.4044;49.7287;61.0289;20.4374;20.8153;81.6014;63.1693;75.0886;108.2435;88.0648;117.6198;50.9018;64.8135;42.7604;58.8659;13.7303;4.4002;8.722;0;0;0;0.4205;4.2979;29.7748;61.6936;0.130009;0.967649;9.198837;142.95311;352.865967;719.198059;1247.945679;1738.861816;2085.425537;2238.361328;2291.994141;2291.994141;NA;NA;NA;37.28312;69.58411;134.37131;198.04932;250.97542;193.27422;151.93448;NA;NA;NA;NA;NA;NA;NA;150;NA;NA;NA;NA;NA;NA;15.4119;16.5079;14.3958;11.1112;5.0634;-1.3142;-10.0618;193.0282;70.911;37.7116;168.9713;47.6454;79.0928;77.9618;0;0;0;0.663;6.5905;26.2663;57.9653;866.628052;1378.373413;1824.643677;2157.97876;2327.776611;2383.072754;2391.04126;168.97241;74.03216;244.13026;102.05155;108.51218;NA;NA;129;NA;NA;NA;NA;NA;NA
"1959";-16.4587;-17.6666;-9.9667;-0.4916;10.7043;15.984;19.49;18.1785;12.9529;3.0864;-7.0027;-11.056;72.7355;26.1077;55.3817;61.7205;48.1553;71.999;61.4813;136.0886;106.0369;93.5712;84.7195;57.738;71.1966;24.8032;49.9442;28.9885;1.7621;0;0;0;0;21.6238;67.3842;52.4293;0;0;1.131221;47.355629;379.187408;858.708557;1462.898926;2026.433228;2415.020508;2529.806396;2532.380615;2533.166504;NA;NA;NA;NA;69.60036;150.64182;264.32379;303.32751;156.23547;113.99965;NA;NA;NA;NA;NA;NA;NA;146;NA;NA;NA;NA;NA;NA;12.2111;17.0564;15.836;11.5521;4.9185;-1.2672;-17.4044;63.1693;75.0886;108.2435;88.0648;117.6198;50.9018;64.8135;0;0;0;0.4205;4.2979;29.7748;61.6936;719.198059;1247.945679;1738.861816;2085.425537;2238.361328;2291.994141;2291.994141;134.37131;198.04932;250.97542;193.27422;151.93448;NA;NA;150;NA;NA;NA;NA;NA;NA
"1960";-14.0813;-12.0103;-12.6745;0.8133;12.0686;14.6532;16.231;16.4363;11.0183;4.5558;0.0525;-13.7707;58.4539;84.1449;30.3705;71.1052;130.3741;224.944;116.835;86.098;94.7639;46.8437;63.9251;41.1671;57.234;78.6269;21.0625;30.9645;15.3296;0;0;0;0.7355;8.5293;30.752;36.7508;0;0;0.129779;75.778984;449.904083;889.501038;1392.661011;1902.184937;2232.735107;2379.470215;2427.213623;2434.807129;NA;NA;NA;NA;33.72048;60.44728;61.50669;100.76518;102.90298;103.95107;NA;NA;NA;NA;NA;NA;NA;162;NA;NA;NA;NA;NA;NA;15.984;19.49;18.1785;12.9529;3.0864;-7.0027;-11.056;71.999;61.4813;136.0886;106.0369;93.5712;84.7195;57.738;0;0;0;0;21.6238;67.3842;52.4293;858.708557;1462.898926;2026.433228;2415.020508;2529.806396;2532.380615;2533.166504;150.64182;264.32379;303.32751;156.23547;113.99965;NA;NA;146;NA;NA;NA;NA;NA;NA
"1961";-19.5254;-12.2318;-6.6751;1.0783;7.3646;13.4278;17.9127;16.0077;13.7656;5.7836;-1.2614;-10.3412;37.6381;45.9645;47.1619;52.7478;60.258;98.0423;79.3427;124.9245;176.3932;43.3329;76.0703;71.0355;35.183;44.6905;39.1752;22.9466;3.2918;0.9822;0;0;2.9275;9.9683;36.5637;58.6471;0;0;10.40216;69.263779;297.567505;700.402161;1255.696167;1751.936279;2164.904053;2347.763184;2382.671387;2384.611572;NA;NA;NA;21.3648;47.94327;94.3018;183.90675;201.56166;82.61626;22.97643;NA;NA;NA;NA;NA;NA;NA;136;NA;NA;NA;NA;NA;NA;14.6532;16.231;16.4363;11.0183;4.5558;0.0525;-13.7707;224.944;116.835;86.098;94.7639;46.8437;63.9251;41.1671;0;0;0;0.7355;8.5293;30.752;36.7508;889.501038;1392.661011;1902.184937;2232.735107;2379.470215;2427.213623;2434.807129;60.44728;61.50669;100.76518;102.90298;103.95107;NA;NA;162;NA;NA;NA;NA;NA;NA
"1962";-19.4795;-18.5519;-5.7956;0.5052;12.303;15.5486;16.7037;16.4498;10.7601;5.7543;-2.3688;-12.3307;77.2437;69.732;23.9848;37.7127;86.0348;44.579;93.3327;125.9034;83.4038;36.7758;16.3183;70.5198;76.4326;69.1909;11.4399;10.4841;0.2062;0;0;0;0.5881;8.6803;7.854;56.6575;0;0;12.306159;67.717697;449.111298;915.569824;1433.384155;1943.327393;2266.131104;2462.992188;2482.744385;2508.052002;NA;NA;NA;12.02;53.86805;163.49498;263.12112;213.14952;165.27397;185.46053;NA;NA;NA;NA;NA;NA;NA;165;NA;NA;NA;NA;NA;NA;13.4278;17.9127;16.0077;13.7656;5.7836;-1.2614;-10.3412;98.0423;79.3427;124.9245;176.3932;43.3329;76.0703;71.0355;0.9822;0;0;2.9275;9.9683;36.5637;58.6471;700.402161;1255.696167;1751.936279;2164.904053;2347.763184;2382.671387;2384.611572;94.3018;183.90675;201.56166;82.61626;22.97643;NA;NA;136;NA;NA;NA;NA;NA;NA
"1963";-18.3889;-18.0381;-8.3987;1.4213;8.9726;17.2876;19.2225;14.5435;9.6175;9.8284;0.79;-15.8296;38.7807;41.0005;57.1105;47.5859;47.0163;82.9736;71.291;173.3438;65.7457;25.8955;92.9885;36.5793;35.6077;40.3245;44.2978;21.4296;1.7194;0;0;0;1.4783;0.4697;34.1241;32.5485;0;0;6.355126;83.500496;361.65213;880.281311;1476.178833;1927.028442;2215.552734;2520.933594;2589.230469;2589.230469;NA;NA;NA;25.02723;71.85947;149.73207;206.53197;165.46994;131.22452;178.37138;NA;NA;NA;NA;NA;NA;NA;168;NA;NA;NA;NA;NA;NA;15.5486;16.7037;16.4498;10.7601;5.7543;-2.3688;-12.3307;44.579;93.3327;125.9034;83.4038;36.7758;16.3183;70.5198;0;0;0;0.5881;8.6803;7.854;56.6575;915.569824;1433.384155;1943.327393;2266.131104;2462.992188;2482.744385;2508.052002;163.49498;263.12112;213.14952;165.27397;185.46053;NA;NA;165;NA;NA;NA;NA;NA;NA
