"5Ba4555A"	"5Ba4615A"	"5Ba4623A"	"5Ba4633A"	"5Ba4710A"	"5Ba4722A"	"5Ba4771A"	"5Ba4784A"	"5Ba4793A"	"5Ba4814A"	"5Ba4839A"	"5Ba4856A"	"5Ba7361A"	"5Ba7404A"	"5Ba7433A"	"5Ba7471A"	"5Ba7516A"	"5Ba7520A"	"5Ba7540A"	"5Ba7565A"	"5Ba7576A"	"5Ba7579A"	"5Ba7586A"	"5Ba7599A"	"5Ba7601A"	"5Ba7606A"	"5Ba7626A"	"5Ba7627A"	"5Ba7655A"	"Ba10098A"	"Ba10138A"	"Ba10141A"	"Ba10145A"	"Ba10203A"	"Ba10211A"	"Ba10212A"	"Ba10215A"	"Ba10229A"	"Ba10231A"	"Ba10233A"	"Ba10314A"	"Ba10315A"	"Ba10318A"
"1933"	NA	NA	0.87	NA	NA	1.78	NA	0.76	0.36	NA	0.59	NA	1.87	0.42	NA	0.42	1.67	NA	NA	NA	NA	NA	0.74	NA	NA	0.62	1.85	NA	0.19	NA	NA	NA	0.17	1.64	0.88	0.79	0.7	1.41	NA	NA	0.6	1.5	1.47
"1934"	NA	NA	0.72	NA	NA	1.95	NA	0.72	0.32	NA	0.75	NA	1.62	0.15	NA	0.45	1.86	NA	NA	NA	NA	NA	0.53	NA	NA	0.71	1.6	NA	0.2	NA	NA	NA	0.13	1.35	1.2	0.7	0.64	1.32	NA	NA	0.64	1.68	1
"1935"	NA	NA	0.83	NA	NA	0.98	NA	1.04	0.31	NA	0.75	NA	1.02	0.15	NA	0.82	1.88	NA	NA	NA	NA	NA	0.38	NA	NA	0.3	1.62	NA	0.16	NA	NA	NA	0.09	1.22	1.08	0.58	0.87	1.32	NA	NA	0.6	1.32	1.11
"1936"	NA	NA	0.66	NA	NA	0.61	NA	0.87	0.31	NA	0.61	NA	2.04	0.2	NA	0.68	1.21	NA	NA	NA	NA	NA	0.43	NA	NA	0.51	0.59	NA	0.26	NA	3.13	NA	0.07	0.31	0.38	0.54	0.62	1.19	NA	NA	0.79	1.6	0.99
"1937"	NA	NA	0.32	NA	NA	0.57	NA	0.61	0.23	NA	0.79	NA	1.17	0.13	NA	0.44	1.5	NA	NA	NA	NA	NA	0.48	NA	NA	0.76	0.94	NA	0.46	NA	3.35	NA	0.04	0.96	0.78	0.46	0.68	1.03	NA	NA	0.89	0.32	1.2
"1938"	NA	NA	0.44	NA	NA	2.1	NA	1.36	0.09	NA	1.12	NA	1.49	0.09	NA	0.54	2.75	NA	NA	NA	NA	NA	0.29	NA	NA	1.02	1.34	NA	0.57	NA	4.07	NA	0.06	1.38	1.17	0.46	0.96	0.27	NA	NA	2	0.51	0.36
"1939"	NA	NA	0.59	NA	NA	2.53	NA	1.31	0.06	NA	1.66	NA	1.7	0.11	NA	0.76	3.95	NA	NA	NA	NA	NA	0.18	NA	NA	0.37	1.34	NA	0.76	NA	3.93	NA	0.13	1.15	1.1	0.44	0.81	1.09	NA	NA	2.26	0.77	0.63
"1940"	NA	NA	1.21	NA	NA	2.11	NA	1.71	0.24	NA	1.16	NA	1.47	0.13	NA	0.76	3.02	NA	1.44	NA	NA	NA	0.6	NA	NA	0.4	1.84	NA	1.46	NA	3.44	NA	0.46	1.6	1.18	1	1.33	1.07	NA	NA	1.92	1	0.91
"1941"	NA	NA	0.81	NA	NA	1.28	NA	1.01	0.79	NA	0.74	NA	0.62	0.15	NA	0.88	2.22	NA	1.12	NA	NA	NA	0.54	NA	NA	0.83	1.07	NA	0.86	NA	3.31	NA	0.5	0.97	0.66	0.56	1.49	1.22	NA	NA	1.12	1.06	0.85
"1942"	0.19	0.34	1.02	NA	NA	1.79	NA	1.62	1.49	NA	0.72	NA	1.11	0.11	NA	0.65	2.05	NA	1.77	NA	NA	1.5	0.34	NA	NA	1.24	1.54	0.37	1.09	NA	1.38	NA	0.5	1.07	0.64	0.89	2.33	0.58	NA	NA	1.16	0.77	0.78
"1943"	0.34	0.76	1.38	NA	NA	1.97	NA	1.94	1.29	NA	2.82	NA	0.89	0.11	NA	0.67	3.57	NA	1.97	NA	NA	1.6	0.28	NA	NA	1.67	2.53	0.63	1.3	NA	1.44	NA	0.64	1.7	1.46	1.1	4.49	0.37	NA	NA	1.6	0.72	0.75
"1944"	0.15	1.14	0.93	NA	0.96	2.14	NA	1.12	0.78	NA	2.43	NA	0.81	0.47	NA	0.89	3.1	NA	1.33	NA	NA	0.9	0.32	NA	NA	1.1	1.32	0.84	0.7	NA	1.46	NA	0.42	1.01	1.62	0.64	2.9	0.35	NA	NA	1.23	1.32	0.32
"1945"	0.17	0.58	1.04	NA	1.39	1.7	NA	1.32	0.72	NA	0.56	NA	0.6	0.15	NA	0.9	2.13	NA	1.32	NA	NA	0.71	0.23	NA	NA	0.7	1.67	0.45	0.82	NA	1.36	NA	0.48	1.14	1.33	0.83	3.2	0.43	NA	NA	1.86	0.57	0.42
"1946"	0.19	0.49	0.91	NA	1.29	1.48	NA	1.04	0.26	NA	0.66	NA	0.38	0.13	NA	1.09	1.61	NA	1.96	NA	NA	0.62	0.33	NA	NA	1.62	1.62	0.57	0.85	NA	1.23	NA	0.52	1.66	1.16	0.98	2.96	0.22	NA	NA	1.56	0.96	0.15
"1947"	0.19	0.61	1.06	0.19	2.32	2.18	NA	0.67	0.37	NA	1.01	1.46	0.51	0.42	NA	0.91	2.79	NA	2.86	NA	NA	1.39	0.42	0.19	NA	2.13	2.99	1.04	1.44	NA	1.38	NA	0.46	2.42	2.06	1.1	3.9	0.4	NA	NA	1.97	1.19	0.15
"1948"	0.34	0.61	0.66	0.3	1.42	1.61	1.35	0.81	0.18	NA	1.23	0.94	0.47	0.42	NA	1.12	2.24	NA	1.6	NA	NA	0.86	0.37	0.2	NA	1.22	1.6	0.5	0.94	NA	2.19	NA	0.67	1.42	1.74	0.94	2.71	0.59	NA	NA	1.45	1.31	0.13
"1949"	0.38	0.42	0.73	0.23	1.22	2.67	1.93	1.19	0.15	NA	0.64	0.85	0.19	0.13	NA	1.34	4.35	NA	2.55	NA	NA	1.08	0.51	0.31	1.11	2.06	2.82	1.1	1.53	NA	1.9	NA	0.64	1.86	2.21	0.72	3.07	0.77	NA	NA	2.28	1.35	0.18
"1950"	0.8	0.47	0.66	0.25	1.09	2.82	2.56	0.99	0.29	NA	1.03	0.7	0.36	0.15	0.2	1.88	4.56	NA	2.78	NA	1.16	1.32	0.57	0.45	2.03	2.29	2.84	1.64	1.76	NA	3.19	NA	0.9	1.63	2.66	0.8	2.59	0.97	NA	NA	3.02	1.12	0.24
"1951"	0.88	0.68	0.71	0.19	1.28	2.78	1.7	1.28	0.21	NA	2.31	0.72	0.11	0.17	0.32	1.54	4.61	NA	2.94	NA	1.72	1.08	1.03	0.62	1.58	2.25	2.24	1.04	2	NA	2.68	NA	0.56	1.46	2.76	1	3.22	1.01	NA	NA	2.9	1.02	0.3
"1952"	0.62	1.02	0.83	0.47	1.49	2.74	1.46	1.26	0.23	NA	1.94	0.72	0.38	0.15	0.24	1.55	4.56	NA	2.51	NA	2.75	1.23	1.39	0.54	1.57	2.24	2.59	1.68	3.31	NA	1.49	NA	0.92	1.23	2.56	0.8	3.75	0.8	NA	NA	2.82	1.32	0.28
"1953"	1.01	1.21	0.71	0.71	1.44	3.01	1.92	1.51	1.53	NA	1.33	0.53	0.49	0.34	0.3	1.49	3.93	NA	2.2	NA	3.02	1.7	1.64	0.8	1.33	2.08	1.85	1.99	2.64	NA	3.33	NA	1.58	1.4	3.21	1.29	2.39	1.49	NA	NA	2.67	1.82	0.44
"1954"	0.69	0.7	0.74	0.78	1.14	2.48	1.82	0.94	2.07	NA	1.08	0.32	0.43	0.26	0.28	1.48	3.53	NA	2.19	NA	2.74	1.14	1.71	0.76	1.13	1.48	1.8	1.59	2.06	NA	2.36	NA	1.05	1.24	3.42	1	2.18	1.04	NA	NA	2.78	1.82	0.58
"1955"	0.62	0.42	0.81	1.39	0.89	2.86	1.64	0.85	2.17	1.22	1.82	0.21	0.68	0.46	0.48	1.3	3.36	NA	2.2	NA	3.19	0.82	1.9	0.53	0.92	1.41	1.25	1.25	2.22	NA	2.2	NA	1.18	1.48	3.36	1.12	2.5	0.83	NA	NA	3.66	1.52	0.94
"1956"	0.28	0.38	1.11	0.6	0.86	2.48	1.66	1.1	1.04	1.2	1.96	0.23	0.17	0.96	0.4	1.09	3.24	NA	1.55	NA	2.79	1.25	0.81	0.35	0.8	1.38	2.24	1.18	2.98	NA	1.37	NA	1.31	1.77	4	1.42	2.88	0.75	NA	NA	3.48	1.33	0.78
"1957"	0.78	0.25	0.81	0.36	1.21	3.06	2.49	0.75	0.6	1.07	0.8	0.32	0.49	1.1	0.36	1.33	3.98	NA	0.84	NA	2.48	0.6	1.2	0.81	0.79	1.82	2.51	1.61	3.16	NA	1.44	NA	1.56	1.08	3.94	0.86	2.31	1.46	NA	NA	1.03	0.55	0.91
"1958"	0.72	0.19	1.49	0.28	1.84	2.5	3.04	1.16	0.76	1.3	0.78	0.28	0.73	2.29	0.42	1.86	6.41	2.12	1.72	NA	2.41	1.49	0.88	1.05	0.87	1.94	3.28	1.82	3.24	NA	2.59	NA	2.25	1.76	4.27	1.13	3.2	1.01	NA	5.03	2.05	0.66	2.04
"1959"	2.42	0.55	1.37	1.47	2.25	2.91	3.45	1.35	0.62	1.56	1.3	0.74	0.47	3.08	1.28	2.29	6.02	1.85	1.58	NA	3.17	1.48	1.02	2.07	0.61	2.67	3.3	2.03	3.93	NA	2.95	NA	2.67	2.06	4.32	1.16	3.71	1.13	NA	4.7	3.94	0.68	2.08
"1960"	4.11	0.53	1.79	2.38	2.56	3.08	3.94	1.66	0.88	2.16	1.98	0.72	0.62	2.98	1.52	2.26	4.44	2.14	2.2	NA	4.34	1.41	1.3	2.54	1.06	3.86	4.21	3.12	3.42	NA	2.52	5.11	2.88	2.06	5.1	1.54	3.79	1.11	NA	3.51	5.12	1.19	2.13
"1961"	3.21	1.4	1.79	2.38	3.71	3.36	3.8	2.1	0.97	2.05	1.1	0.83	0.4	3.03	1.25	2.7	3.75	3.05	2.16	NA	4.26	1.11	0.77	1.65	1.43	4.26	4.78	3.73	3.18	NA	3.01	3.81	3.03	1.86	4.5	1.01	4.06	1.1	NA	3.98	5.52	1.14	2.14
"1962"	2.55	2.03	1.76	3.31	3.4	3.09	2.98	2.66	0.93	1.91	1.64	0.82	0.55	3.83	1.26	2.98	3.28	1.57	2.12	NA	4.4	1.01	0.88	1.42	0.92	3.88	3.8	3.4	3.28	NA	2.04	3.24	2.84	1.17	4.76	0.9	3.1	1.59	NA	5.5	5.45	1.27	1.73
"1963"	2.76	1.25	2.15	2.65	4.25	3.34	3.89	2.98	0.92	1.64	3.11	1.25	0.26	3.77	1.3	2.26	2.93	2.87	2.37	NA	4.08	1.36	0.73	1.58	0.56	3.06	3.64	4.08	3.74	NA	1.74	4.04	3.12	0.71	4.08	1.36	2.56	1.74	NA	4.68	5.05	1.27	1.92
"1964"	3.43	1.1	2.08	1.55	4.33	3.02	0.83	2.84	1.52	1.64	2.07	1.34	0.32	4.23	0.9	2.44	2.74	1.92	1.87	NA	3.88	1.11	1.1	1.34	0.58	2.77	3.36	4.58	3.21	NA	1.31	3.32	3.14	1.07	3.71	1.28	3.25	1.53	NA	3.9	4.05	1.93	1.61
"1965"	3.42	1.5	1.62	2.55	3.75	2.66	1.41	1.73	0.96	1.89	1.07	1.44	0.55	4.02	0.72	2.2	2.02	1.79	1.33	NA	3.9	0.9	1.14	1.18	0.61	2.03	2.44	3.74	2.45	NA	1.8	2.9	2.64	1.44	2.88	0.77	2.99	1.87	NA	4.32	3.9	1.23	1.3
"1966"	2.49	1.12	1.66	3.04	2.68	3.55	2.24	1.93	1.69	2.36	1.08	1.38	0.21	3.96	0.67	1.84	1.72	2.55	2.4	NA	3.61	1.18	1.31	1.12	0.72	1.56	2.32	3.51	2.7	NA	2.69	3.11	3.63	1.38	2.67	1.45	2.13	1.69	NA	4.52	1.78	1.55	1.3
"1967"	2.48	1.57	1.75	1.11	2.94	2.62	1.92	1.66	1.04	2.57	2.06	1.58	0.15	3.34	0.72	1.39	1.55	2.63	2.08	NA	3.46	1.53	2.03	0.74	0.58	1.76	1.95	3.84	2.54	NA	1.97	4.41	3.38	1.38	2.33	1.3	1.98	1.44	NA	5.78	1.88	2.69	1.15
"1968"	2.64	1.82	1.3	1.34	2.77	2.2	1.58	2.37	0.53	1.63	1.93	0.76	0.13	2.74	0.64	1.11	1.9	2.22	1.88	3.04	3.42	1.14	1.62	0.6	0.38	1.52	2.48	3.06	2.14	NA	1.78	3.41	2.44	1.12	2.55	0.72	2.49	1.55	NA	4.14	1.6	2.29	0.69
"1969"	3.18	1.47	1.77	1.2	2.31	2.39	1.9	2.57	0.74	0.68	1.68	1.25	0.24	4.3	0.59	1.2	2.57	1.98	1.28	4.11	4.02	1.32	1.7	0.6	0.68	1.94	3.16	3.77	2.7	NA	2.1	3.86	2.59	1.18	2.92	1.01	2.89	1.4	NA	4.41	1.97	2.51	0.86
"1970"	3.24	0.95	2.17	1.46	3.29	2.76	3.08	2.54	0.86	0.67	1.08	1.32	0.11	5.29	0.44	1.62	3.18	2.66	1.8	4.64	3.98	1.62	1.54	0.7	0.48	1.12	3.02	3.01	2.77	NA	1.78	4.03	2.28	1.62	3.2	0.73	2.62	1.12	NA	4.26	3.09	3.19	0.66
"1971"	3.62	0.55	2.69	1.88	4.08	2.64	3.36	2.38	0.67	0.97	1.06	1.08	0.09	4.04	0.51	1.42	3.77	2.11	1.81	3.27	3.79	1.2	1	0.92	0.94	1.32	2.89	3.13	2.86	NA	2.35	3.78	2.39	1.88	3.54	0.83	3.13	1.29	NA	3.94	2.71	2.41	0.5
"1972"	3.7	0.66	3.48	1.09	5	3.29	3.62	2.25	0.88	1.24	2.3	1.01	0.08	3.75	0.64	1.18	3.4	2.22	1.6	4.22	3.88	1.16	1.12	0.87	2.17	1.9	3.2	3.33	2.26	NA	2.54	3.21	2.54	1.48	2.92	1.02	2.74	1.38	NA	2.96	2.68	2.08	0.52
