stem_id,plot_id,species_id,x,y
H1760_1,H1760,TOC,3.75,8
H1760_10,H1760,TOC,11.5,6.5
H1760_100,H1760,ABA,57,0.5
H1760_1000,H1760,TOC,83,51.75
H1760_1001,H1760,TOC,81.5,57.25
H1760_1002,H1760,ABA,87.25,50
H1760_1003,H1760,ABA,86,53
H1760_1004,H1760,ABA,88,55
H1760_1005,H1760,ABA,87,55
H1760_1006,H1760,ABA,86.5,54.5
H1760_1007,H1760,ABA,88,57
H1760_1008,H1760,ABA,81.5,53.25
H1760_1009,H1760,ABA,85,56.5
H1760_101,H1760,ABA,59,2.25
H1760_1010,H1760,ABA,85.5,55
H1760_1011,H1760,ABA,85.5,56
H1760_1012,H1760,ABA,88,57
H1760_1013,H1760,ASP,97.43,50.77
H1760_1014,H1760,ASP,99.07,52.1
H1760_1015,H1760,TOC,97,55
H1760_1016,H1760,TOC,96.25,56
H1760_1017,H1760,TOC,90.5,56.25
H1760_1018,H1760,BPA,90.5,55.5
H1760_1019,H1760,PTR,93.5,50.5
H1760_102,H1760,ABA,59,5.5
H1760_1020,H1760,PTR,96.5,50
H1760_1021,H1760,ABA,91.75,54.25
H1760_1022,H1760,ABA,91.25,51.75
H1760_1023,H1760,ABA,91.5,51.25
H1760_1024,H1760,ABA,90,54.5
H1760_1025,H1760,TOC,90.75,50
H1760_1026,H1760,ABA,92,50.5
H1760_1027,H1760,TOC,90.5,51.5
H1760_1028,H1760,ABA,94,51
H1760_1029,H1760,ABA,93.75,53
H1760_103,H1760,ABA,59.75,0.5
H1760_1030,H1760,TOC,94,55
H1760_1031,H1760,ABA,93,55
H1760_1032,H1760,ABA,93.75,55.5
H1760_1033,H1760,ABA,93,56
H1760_1034,H1760,ABA,94,58
H1760_1035,H1760,ABA,93.75,58.5
H1760_1036,H1760,ABA,90.25,58
H1760_1037,H1760,ABA,97.5,56
H1760_1038,H1760,ABA,90,59
H1760_1039,H1760,ABA,91,57
H1760_104,H1760,ABA,60,8
H1760_1040,H1760,ABA,91,59.5
H1760_1041,H1760,ABA,92,53.75
H1760_1042,H1760,ABA,94,53
H1760_1043,H1760,ABA,94.5,50
H1760_1044,H1760,ABA,98,56.25
H1760_1045,H1760,ABA,99.75,55.25
H1760_1046,H1760,ASP,8.59,70
H1760_1047,H1760,ASP,0.77,68.83
H1760_1048,H1760,TOC,3.5,69
H1760_1049,H1760,ABA,4,69
H1760_105,H1760,ASP,66.87,5.55
H1760_1050,H1760,TOC,0.5,67.5
H1760_1051,H1760,TOC,8.25,67
H1760_1052,H1760,TOC,9,62.5
H1760_1053,H1760,TOC,7.5,63.25
H1760_1054,H1760,TOC,4.75,62
H1760_1055,H1760,TOC,2.75,61.75
H1760_1056,H1760,ASP,6,67.25
H1760_1057,H1760,ABA,1.75,63.5
H1760_1058,H1760,ABA,2,62.5
H1760_1059,H1760,ABA,2,68.5
H1760_106,H1760,BPA,68.36,2.53
H1760_1060,H1760,ABA,3,62.5
H1760_1061,H1760,ABA,6,61.5
H1760_1062,H1760,ABA,6,67
H1760_1063,H1760,ABA,6.25,60.25
H1760_1064,H1760,ABA,7.75,60.75
H1760_1065,H1760,ABA,8.5,66.75
H1760_1066,H1760,ABA,9.75,63.5
H1760_1067,H1760,ABA,10,62.5
H1760_1068,H1760,TOC,16.25,61
H1760_1069,H1760,PGL,17,61.5
H1760_107,H1760,TOC,62.5,0.5
H1760_1070,H1760,TOC,15.25,62.5
H1760_1071,H1760,TOC,10.25,66.5
H1760_1072,H1760,TOC,12,69
H1760_1073,H1760,ABA,12.75,61
H1760_1074,H1760,ABA,12.75,63
H1760_1075,H1760,ABA,13,68
H1760_1076,H1760,ABA,16,70
H1760_1077,H1760,ABA,22.2,65.69
H1760_1078,H1760,ABA,30,67.31
H1760_1079,H1760,ASP,40,60
H1760_108,H1760,TOC,62,6
H1760_1080,H1760,TOC,20.25,66
H1760_1081,H1760,TOC,22.5,64.25
H1760_1082,H1760,TOC,26,65
H1760_1083,H1760,TOC,26.5,64
H1760_1084,H1760,TOC,28,69.75
H1760_1085,H1760,TOC,23.5,69.75
H1760_1086,H1760,ABA,20.25,64
H1760_1087,H1760,ABA,21.25,66.25
H1760_1088,H1760,ABA,22,67.75
H1760_1089,H1760,ABA,23,61.5
H1760_109,H1760,TOC,61.5,9.5
H1760_1090,H1760,ABA,23,68
H1760_1091,H1760,ABA,23.5,69.5
H1760_1092,H1760,ABA,26,68.75
H1760_1093,H1760,ABA,26.75,61
H1760_1094,H1760,TOC,22,66.25
H1760_1095,H1760,ABA,40,65.15
H1760_1096,H1760,ASP,36.07,63.15
H1760_1097,H1760,TOC,30.25,64
H1760_1098,H1760,BPA,31.25,65.25
H1760_1099,H1760,TOC,31,65.5
H1760_11,H1760,TOC,17.25,3
H1760_110,H1760,TOC,65,8
H1760_1100,H1760,TOC,30.25,66.25
H1760_1101,H1760,TOC,33.5,60.25
H1760_1102,H1760,TOC,37.5,68
H1760_1103,H1760,PTR,33.5,62.5
H1760_1104,H1760,BPA,36.5,68.5
H1760_1105,H1760,BPA,37,68.75
H1760_1106,H1760,ABA,36.5,67
H1760_1107,H1760,PTR,38,63
H1760_1108,H1760,ABA,39.5,63
H1760_1109,H1760,ABA,39.75,61.25
H1760_111,H1760,TOC,69,6.5
H1760_1110,H1760,ASP,37,61.25
H1760_1111,H1760,ABA,30,65.5
H1760_1112,H1760,ABA,32,61
H1760_1113,H1760,ABA,32.75,61.5
H1760_1114,H1760,ABA,33,68
H1760_1115,H1760,ABA,34,66
H1760_1116,H1760,ABA,35.5,69.5
H1760_1117,H1760,ABA,36.5,69
H1760_1118,H1760,ABA,37,65.5
H1760_1119,H1760,ABA,38.5,66
H1760_112,H1760,ABA,62,2.75
H1760_1120,H1760,BPA,37,68
H1760_1121,H1760,PGL,45,68
H1760_1122,H1760,ASP,43,69.5
H1760_1123,H1760,ASP,42,69.75
H1760_1124,H1760,ASP,43,67
H1760_1125,H1760,ABA,41,67.5
H1760_1126,H1760,ASP,43,65
H1760_1127,H1760,ASP,44.5,64
H1760_1128,H1760,ASP,42,62
H1760_1129,H1760,ASP,45,61.75
H1760_113,H1760,ABA,63.5,0.5
H1760_1130,H1760,ASP,48,62
H1760_1131,H1760,ASP,46.5,65
H1760_1132,H1760,ASP,46,65.75
H1760_1133,H1760,ABA,40.25,68
H1760_1134,H1760,ABA,41,63.5
H1760_1135,H1760,ABA,41.5,66
H1760_1136,H1760,ABA,43,69.75
H1760_1137,H1760,ABA,43,70
H1760_1138,H1760,ABA,43.25,69
H1760_1139,H1760,ABA,43.75,69
H1760_114,H1760,ABA,63.5,4.5
H1760_1140,H1760,ABA,45,69.75
H1760_1141,H1760,ABA,45.6,64
H1760_1142,H1760,ABA,47,63.5
H1760_1143,H1760,ABA,48,69.75
H1760_1144,H1760,ABA,48.5,63.25
H1760_1145,H1760,ABA,49.75,68
H1760_1146,H1760,BPA,49,66.5
H1760_1147,H1760,ASP,54.4,65.64
H1760_1148,H1760,ASP,55.07,65.25
H1760_1149,H1760,TOC,59.25,69.75
H1760_115,H1760,ABA,65.5,1
H1760_1150,H1760,TOC,58,68
H1760_1151,H1760,TOC,57,68.75
H1760_1152,H1760,TOC,56,60.25
H1760_1153,H1760,BPA,54.5,61.25
H1760_1154,H1760,BPA,51.75,63
H1760_1155,H1760,ASP,52,68
H1760_1156,H1760,ASP,52,68.5
H1760_1157,H1760,ABA,51.25,64.75
H1760_1158,H1760,ABA,52.5,68.5
H1760_1159,H1760,ABA,52.75,62.5
H1760_116,H1760,ABA,65.5,2.5
H1760_1160,H1760,ABA,54,63.25
H1760_1161,H1760,ABA,54,64.25
H1760_1162,H1760,ABA,57,60.75
H1760_1163,H1760,ABA,59.5,69
H1760_1164,H1760,ASP,68.15,68.55
H1760_1165,H1760,ASP,67.57,64.37
H1760_1166,H1760,ASP,66.21,63.11
H1760_1167,H1760,ASP,65.05,70
H1760_1168,H1760,TOC,60.75,63
H1760_1169,H1760,TOC,60.5,66
H1760_117,H1760,ABA,66.25,8
H1760_1170,H1760,TOC,61,68.25
H1760_1171,H1760,TOC,68.75,69.5
H1760_1172,H1760,ASP,62.5,64.5
H1760_1173,H1760,ASP,62.5,64.25
H1760_1174,H1760,ASP,65,65
H1760_1175,H1760,ASP,66.5,63
H1760_1176,H1760,ABA,61.75,67
H1760_1177,H1760,ABA,63,64
H1760_1178,H1760,ABA,64,64.5
H1760_1179,H1760,ABA,65.5,65
H1760_118,H1760,ABA,68.5,1.75
H1760_1180,H1760,ABA,66.25,60.25
H1760_1181,H1760,ABA,69.5,68.75
H1760_1182,H1760,ASP,79.03,67.59
H1760_1183,H1760,ASP,80,69.44
H1760_1184,H1760,ASP,72.08,62.43
H1760_1185,H1760,ASP,80,66.13
H1760_1186,H1760,TOC,70.25,65.5
H1760_1187,H1760,TOC,70.25,64.5
H1760_1188,H1760,TOC,73.25,64.5
H1760_1189,H1760,TOC,74.5,61.25
H1760_119,H1760,ABA,69,8
H1760_1190,H1760,TOC,78.75,62
H1760_1191,H1760,TOC,75.25,65.75
H1760_1192,H1760,TOC,76,66.5
H1760_1193,H1760,ASP,74.5,60
H1760_1194,H1760,ASP,71,60.25
H1760_1195,H1760,ASP,77,69
H1760_1196,H1760,ABA,70.5,68.25
H1760_1197,H1760,ABA,72.25,68.5
H1760_1198,H1760,ABA,75,65.5
H1760_1199,H1760,ABA,75.25,68.75
H1760_12,H1760,TOC,18,4.25
H1760_120,H1760,TOC,61.25,5
H1760_1200,H1760,ABA,75.5,66.75
H1760_1201,H1760,ABA,76,62.5
H1760_1202,H1760,ABA,79.75,67.5
H1760_1203,H1760,ABA,79.75,69
H1760_1204,H1760,TOC,80.5,60.5
H1760_1205,H1760,TOC,81,63.5
H1760_1206,H1760,TOC,81.75,65
H1760_1207,H1760,TOC,81.5,68
H1760_1208,H1760,TOC,80,68.5
H1760_1209,H1760,BPA,85,65
H1760_121,H1760,PTR,75.18,1.62
H1760_1210,H1760,TOC,85.25,66
H1760_1211,H1760,TOC,86.75,69
H1760_1212,H1760,TOC,89.25,69
H1760_1213,H1760,TOC,89,64.25
H1760_1214,H1760,ABA,86.5,63
H1760_1215,H1760,ABA,89,60.25
H1760_1216,H1760,ASP,82.5,68
H1760_1217,H1760,ASP,84.5,69.75
H1760_1218,H1760,ABA,81.25,65.25
H1760_1219,H1760,ABA,83.25,62.25
H1760_122,H1760,ABA,75.35,2.05
H1760_1220,H1760,ABA,83.5,66.75
H1760_1221,H1760,ABA,85.25,68.25
H1760_1222,H1760,ABA,85.75,69.5
H1760_1223,H1760,ABA,86.75,63.75
H1760_1224,H1760,ABA,88.5,67.5
H1760_1225,H1760,TOC,85.25,62
H1760_1226,H1760,ASP,97.99,66.43
H1760_1227,H1760,ASP,96.65,62.69
H1760_1228,H1760,ASP,99.34,62.37
H1760_1229,H1760,ASP,93.37,67.49
H1760_123,H1760,ABA,77.6,0.82
H1760_1230,H1760,ABA,93.6,65.98
H1760_1231,H1760,TOC,91,64.75
H1760_1232,H1760,BPA,90.25,67
H1760_1233,H1760,TOC,90.75,69.75
H1760_1234,H1760,TOC,92.5,64
H1760_1235,H1760,TOC,97.75,68.5
H1760_1236,H1760,ASP,97,60
H1760_1237,H1760,ASP,100,65
H1760_1238,H1760,TOC,88.5,64.5
H1760_1239,H1760,TOC,95,63
