"plot_id","stem_id","species_id","x","y","year","dbh","status_id"
"H1760","H1760_1","TOC",3.75,8,1994,43,"AS"
"H1760","H1760_1","TOC",3.75,8,2004,45.5,"AS"
"H1760","H1760_1","TOC",3.75,8,2011,48,"AS"
"H1760","H1760_10","TOC",11.5,6.5,1994,29.8,"AS"
"H1760","H1760_10","TOC",11.5,6.5,2004,32.6,"AS"
"H1760","H1760_10","TOC",11.5,6.5,2011,34.9,"AS"
"H1760","H1760_10","TOC",11.5,6.5,2018,35.3,"AS"
"H1760","H1760_100","ABA",57,0.5,1994,16,"DS"
"H1760","H1760_100","ABA",57,0.5,2004,NA,"DF"
"H1760","H1760_1000","TOC",83,51.75,1994,33.2,"AS"
"H1760","H1760_1000","TOC",83,51.75,2004,34.7,"AS"
"H1760","H1760_1000","TOC",83,51.75,2011,38.9,"AS"
"H1760","H1760_1000","TOC",83,51.75,2018,37.3,"AS"
"H1760","H1760_1001","TOC",81.5,57.25,1994,8.7,"AS"
"H1760","H1760_1001","TOC",81.5,57.25,2004,8.8,"AS"
"H1760","H1760_1001","TOC",81.5,57.25,2011,10,"AS"
"H1760","H1760_1001","TOC",81.5,57.25,2018,10,"DF"
"H1760","H1760_1002","ABA",87.25,50,2011,6.1,"AS"
"H1760","H1760_1002","ABA",87.25,50,2018,8.5,"AS"
"H1760","H1760_1003","ABA",86,53,2011,6,"AS"
"H1760","H1760_1003","ABA",86,53,2018,6.8,"AF"
"H1760","H1760_1004","ABA",88,55,2011,6,"AS"
"H1760","H1760_1004","ABA",88,55,2018,7.8,"AS"
"H1760","H1760_1005","ABA",87,55,2011,6,"AS"
"H1760","H1760_1005","ABA",87,55,2018,6.8,"AS"
"H1760","H1760_1006","ABA",86.5,54.5,2011,5.9,"AS"
"H1760","H1760_1006","ABA",86.5,54.5,2018,6.7,"AS"
"H1760","H1760_1007","ABA",88,57,2011,5.3,"AS"
"H1760","H1760_1007","ABA",88,57,2018,5.8,"AS"
"H1760","H1760_1008","ABA",81.5,53.25,1994,15.8,"DS"
"H1760","H1760_1008","ABA",81.5,53.25,2004,NA,"DF"
"H1760","H1760_1009","ABA",85,56.5,1994,5.5,"DS"
"H1760","H1760_1009","ABA",85,56.5,2004,NA,"DF"
"H1760","H1760_101","ABA",59,2.25,1994,6,"DS"
"H1760","H1760_101","ABA",59,2.25,2004,NA,"DF"
"H1760","H1760_1010","ABA",85.5,55,1994,18.2,"DS"
"H1760","H1760_1010","ABA",85.5,55,2004,NA,"DF"
