meas_id,stem_id,year,dbh,status_id,crown_class,live_crown_class,decay_class
SM1,S1964_0074,1991,5.6,AS,NA,NA,NA
SM2,S1964_0076,1991,14.7,AS,NA,NA,NA
SM3,S1964_0077,1991,12.2,AS,NA,NA,NA
SM4,S1964_0078,1991,8,AS,NA,NA,NA
SM5,S1964_0079,1991,5.6,AS,NA,NA,NA
SM6,S1964_0098,1991,9.9,AS,NA,NA,NA
SM7,S1964_0154,1991,11.3,AS,NA,NA,NA
SM8,S1964_0156,1991,7.3,AS,NA,NA,NA
SM9,S1964_0160,1991,4.1,DS,NA,NA,NA
SM10,S1964_0163,1991,16.3,AS,NA,NA,NA
SM11,S1964_0168,1991,10.2,AS,NA,NA,NA
SM12,S1964_0170,1991,8,AS,NA,NA,NA
SM13,S1964_0171,1991,7.6,DS,NA,NA,NA
SM14,S1964_0176,1991,4.2,DS,NA,NA,NA
SM15,S1964_0180,1991,3.9,AS,NA,NA,NA
SM16,S1964_0181,1991,1.9,AS,NA,NA,NA
SM17,S1964_0183,1991,4.5,DS,NA,NA,NA
SM18,S1964_0190,1991,3.1,DS,NA,NA,NA
SM19,S1964_0193,1991,6.7,DS,NA,NA,NA
SM20,S1964_0194,1991,8.4,DS,NA,NA,NA
SM21,S1964_0198,1991,3.2,DS,NA,NA,NA
SM22,S1964_0199,1991,13.1,AS,NA,NA,NA
SM23,S1964_0231,1991,3.4,AS,NA,NA,NA
SM24,S1964_0277,1991,13.4,AS,NA,NA,NA
SM25,S1964_0278,1991,2.2,DS,NA,NA,NA
SM26,S1964_0296,1991,6.5,DS,NA,NA,NA
SM27,S1964_0299,1991,6.5,AS,NA,NA,NA
SM28,S1964_0371,1991,9.8,AS,NA,NA,NA
SM29,S1964_0372,1991,4.7,DS,NA,NA,NA
SM30,S1964_0373,1991,7,AS,NA,NA,NA
SM31,S1964_0374,1991,16.9,AS,NA,NA,NA
SM32,S1964_0375,1991,4,DS,NA,NA,NA
SM33,S1964_0376,1991,9.7,AS,NA,NA,NA
SM34,S1964_0377,1991,3.8,DS,NA,NA,NA
SM35,S1964_0378,1991,5.5,DS,NA,NA,NA
SM36,S1964_0379,1991,23.3,AS,NA,NA,NA
SM37,S1964_0380,1991,8,DS,NA,NA,NA
SM38,S1964_0381,1991,5,AS,NA,NA,NA
SM39,S1964_0382,1991,14.2,AS,NA,NA,NA
SM40,S1964_0383,1991,7.2,AS,NA,NA,NA
SM41,S1964_0385,1991,7.2,DS,NA,NA,NA
SM42,S1964_0386,1991,3.6,DS,NA,NA,NA
SM43,S1964_0387,1991,2.7,DS,NA,NA,NA
SM44,S1964_0388,1991,10.4,AS,NA,NA,NA
SM45,S1964_0389,1991,10.5,AS,NA,NA,NA
SM46,S1964_0390,1991,9.6,DS,NA,NA,NA
SM47,S1964_0391,1991,5,DS,NA,NA,NA
SM48,S1964_0392,1991,2.2,DS,NA,NA,NA
SM49,S1964_0393,1991,4.6,AS,NA,NA,NA
SM50,S1964_0395,1991,3.3,DS,NA,NA,NA
SM51,S1964_0396,1991,10.7,AS,NA,NA,NA
SM52,S1964_0398,1991,7.4,AS,NA,NA,NA
SM53,S1964_0399,1991,3.2,DS,NA,NA,NA
SM54,S1964_0400,1991,3.3,DS,NA,NA,NA
